node,Yeo
Amps_Schaefer_229,6
Amps_Schaefer_230,6
Amps_Schaefer_231,4
Amps_Schaefer_232,6
Amps_Schaefer_233,6
Amps_Schaefer_234,5
Amps_Schaefer_235,5
Amps_Schaefer_236,5
Amps_Schaefer_237,5
Amps_Schaefer_238,7
Amps_Schaefer_239,5
Amps_Schaefer_240,5
Amps_Schaefer_241,5
Amps_Schaefer_242,5
Amps_Schaefer_243,5
Amps_Schaefer_244,5
Amps_Schaefer_245,3
Amps_Schaefer_246,3
Amps_Schaefer_247,3
Amps_Schaefer_248,3
Amps_Schaefer_249,3
Amps_Schaefer_250,4
Amps_Schaefer_251,6
Amps_Schaefer_252,3
Amps_Schaefer_253,6
Amps_Schaefer_254,6
Amps_Schaefer_255,6
Amps_Schaefer_256,7
Amps_Schaefer_257,6
Amps_Schaefer_258,6
Amps_Schaefer_259,6
Amps_Schaefer_260,6
Amps_Schaefer_261,6
Amps_Schaefer_262,6
Amps_Schaefer_263,6
Amps_Schaefer_264,6
Amps_Schaefer_265,6
Amps_Schaefer_266,7
Amps_Schaefer_267,6
Amps_Schaefer_268,7
Amps_Schaefer_269,6
Amps_Schaefer_270,6
Amps_Schaefer_271,7
Amps_Schaefer_272,7
Amps_Schaefer_273,7
Amps_Schaefer_274,7
Amps_Schaefer_275,7
Amps_Schaefer_276,7
Amps_Schaefer_277,7
Amps_Schaefer_278,7
Amps_Schaefer_279,7
Amps_Schaefer_280,7
Amps_Schaefer_281,7
Amps_Schaefer_282,7
Amps_Schaefer_283,7
Amps_Schaefer_284,7
Amps_Schaefer_285,7
Amps_Schaefer_286,7
Amps_Schaefer_287,7
Amps_Schaefer_288,7
Amps_Schaefer_289,6
Amps_Schaefer_290,7
Amps_Schaefer_291,7
Amps_Schaefer_292,7
Amps_Schaefer_293,1
Amps_Schaefer_294,7
Amps_Schaefer_295,7
Amps_Schaefer_296,2
Amps_Schaefer_297,7
Amps_Schaefer_298,4
Amps_Schaefer_299,2
Amps_Schaefer_300,7
Amps_Glasser_1,1
Amps_Glasser_2,1
Amps_Glasser_3,1
Amps_Glasser_4,1
Amps_Glasser_5,1
Amps_Glasser_6,1
Amps_Glasser_7,1
Amps_Glasser_8,2
Amps_Glasser_9,2
Amps_Glasser_10,3
Amps_Glasser_11,3
Amps_Glasser_12,4
Amps_Glasser_13,1
Amps_Glasser_14,7
Amps_Glasser_15,6
Amps_Glasser_16,1
Amps_Glasser_17,3
Amps_Glasser_18,1
Amps_Glasser_19,1
Amps_Glasser_20,1
Amps_Glasser_21,1
Amps_Glasser_22,1
Amps_Glasser_23,1
Amps_Glasser_24,2
Amps_Glasser_25,4
Amps_Glasser_26,7
Amps_Glasser_27,3
Amps_Glasser_28,4
Amps_Glasser_29,6
Amps_Glasser_30,7
Amps_Glasser_31,7
Amps_Glasser_32,7
Amps_Glasser_33,7
Amps_Glasser_34,7
Amps_Glasser_35,7
Amps_Glasser_36,2
Amps_Glasser_37,4
Amps_Glasser_38,4
Amps_Glasser_39,2
Amps_Glasser_40,2
Amps_Glasser_41,2
Amps_Glasser_42,3
Amps_Glasser_43,4
Amps_Glasser_44,4
Amps_Glasser_45,3
Amps_Glasser_46,3
Amps_Glasser_47,3
Amps_Glasser_48,3
Amps_Glasser_49,3
Amps_Glasser_50,3
Amps_Glasser_51,2
Amps_Glasser_52,2
Amps_Glasser_53,2
Amps_Glasser_54,2
Amps_Glasser_55,2
Amps_Glasser_56,2
Amps_Glasser_57,4
Amps_Glasser_58,4
Amps_Glasser_59,4
Amps_Glasser_60,4
Amps_Glasser_61,7
Amps_Glasser_62,7
Amps_Glasser_63,6
Amps_Glasser_64,7
Amps_Glasser_65,7
Amps_Glasser_66,7
Amps_Glasser_67,6
Amps_Glasser_68,7
Amps_Glasser_69,7
Amps_Glasser_70,7
Amps_Glasser_71,7
Amps_Glasser_72,7
Amps_Glasser_73,6
Amps_Glasser_74,6
Amps_Glasser_75,7
Amps_Glasser_76,7
Amps_Glasser_77,6
Amps_Glasser_78,4
Amps_Glasser_79,6
Amps_Glasser_80,3
Amps_Glasser_81,6
Amps_Glasser_82,6
Amps_Glasser_83,6
Amps_Glasser_84,6
Amps_Glasser_85,6
Amps_Glasser_86,6
Amps_Glasser_87,7
Amps_Glasser_88,5
Amps_Glasser_89,6
Amps_Glasser_90,5
Amps_Glasser_91,6
Amps_Glasser_92,5
Amps_Glasser_93,5
Amps_Glasser_94,7
Amps_Glasser_95,3
Amps_Glasser_96,3
Amps_Glasser_97,6
Amps_Glasser_98,6
Amps_Glasser_99,4
Amps_Glasser_100,2
Amps_Glasser_101,2
Amps_Glasser_102,2
Amps_Glasser_103,2
Amps_Glasser_104,2
Amps_Glasser_105,2
Amps_Glasser_106,4
Amps_Glasser_107,2
Amps_Glasser_108,4
Amps_Glasser_109,4
Amps_Glasser_110,5
Amps_Glasser_111,6
Amps_Glasser_112,4
Amps_Glasser_113,4
Amps_Glasser_114,4
Amps_Glasser_115,2
Amps_Glasser_116,3
Amps_Glasser_117,3
Amps_Glasser_118,5
Amps_Glasser_119,1
Amps_Glasser_120,5
Amps_Glasser_121,1
Amps_Glasser_122,5
Amps_Glasser_123,7
Amps_Glasser_124,2
Amps_Glasser_125,2
Amps_Glasser_126,1
Amps_Glasser_127,1
Amps_Glasser_128,7
Amps_Glasser_129,7
Amps_Glasser_130,7
Amps_Glasser_131,5
Amps_Glasser_132,7
Amps_Glasser_133,6
Amps_Glasser_134,5
Amps_Glasser_135,5
Amps_Glasser_136,3
Amps_Glasser_137,3
Amps_Glasser_138,3
Amps_Glasser_139,4
Amps_Glasser_140,3
Amps_Glasser_141,3
Amps_Glasser_142,1
Amps_Glasser_143,3
Amps_Glasser_144,6
Amps_Glasser_145,6
Amps_Glasser_146,3
Amps_Glasser_147,4
Amps_Glasser_148,4
Amps_Glasser_149,6
Amps_Glasser_150,7
Amps_Glasser_151,7
Amps_Glasser_152,1
Amps_Glasser_153,1
Amps_Glasser_154,1
Amps_Glasser_155,1
Amps_Glasser_156,1
Amps_Glasser_157,3
Amps_Glasser_158,1
Amps_Glasser_159,1
Amps_Glasser_160,1
Amps_Glasser_161,7
Amps_Glasser_162,7
Amps_Glasser_163,1
Amps_Glasser_164,5
Amps_Glasser_165,7
Amps_Glasser_166,5
Amps_Glasser_167,4
Amps_Glasser_168,2
Amps_Glasser_169,4
Amps_Glasser_170,6
Amps_Glasser_171,6
Amps_Glasser_172,5
Amps_Glasser_173,2
Amps_Glasser_174,2
Amps_Glasser_175,2
Amps_Glasser_176,7
Amps_Glasser_177,7
Amps_Glasser_178,4
Amps_Glasser_179,6
Amps_Glasser_180,7
Amps_Glasser_181,1
Amps_Glasser_182,3
Amps_Glasser_183,1
Amps_Glasser_184,1
Amps_Glasser_185,1
Amps_Glasser_186,1
Amps_Glasser_187,1
Amps_Glasser_188,2
Amps_Glasser_189,2
Amps_Glasser_190,3
Amps_Glasser_191,3
Amps_Glasser_192,2
Amps_Glasser_193,1
Amps_Glasser_194,7
Amps_Glasser_195,6
Amps_Glasser_196,1
Amps_Glasser_197,3
Amps_Glasser_198,1
Amps_Glasser_199,1
Amps_Glasser_200,1
Amps_Glasser_201,1
Amps_Glasser_202,1
Amps_Glasser_203,1
Amps_Glasser_204,2
Amps_Glasser_205,4
Amps_Glasser_206,7
Amps_Glasser_207,7
Amps_Glasser_208,7
Amps_Glasser_209,6
Amps_Glasser_210,7
Amps_Glasser_211,7
Amps_Glasser_212,7
Amps_Glasser_213,7
Amps_Glasser_214,7
Amps_Glasser_215,7
Amps_Glasser_216,2
Amps_Glasser_217,4
Amps_Glasser_218,4
Amps_Glasser_219,2
Amps_Glasser_220,2
Amps_Glasser_221,2
Amps_Glasser_222,3
Amps_Glasser_223,4
Amps_Glasser_224,4
Amps_Glasser_225,3
Amps_Glasser_226,3
Amps_Glasser_227,3
Amps_Glasser_228,3
Amps_Glasser_229,3
Amps_Glasser_230,3
Amps_Glasser_231,2
Amps_Glasser_232,2
Amps_Glasser_233,2
Amps_Glasser_234,2
Amps_Glasser_235,2
Amps_Glasser_236,2
Amps_Glasser_237,4
Amps_Glasser_238,6
Amps_Glasser_239,4
Amps_Glasser_240,4
Amps_Glasser_241,7
Amps_Glasser_242,7
Amps_Glasser_243,6
Amps_Glasser_244,7
Amps_Glasser_245,7
Amps_Glasser_246,7
Amps_Glasser_247,7
Amps_Glasser_248,7
Amps_Glasser_249,7
Amps_Glasser_250,7
